Holding Name,Ticker,Sector,Country code,% of net assets
Tianma Microelectronics Co. Ltd.,000050,Electronic Components,CN,0.00035%
Caitong Securities Co. Ltd.,601108,Investment Services,CN,0.00033%
Huadian Power International Corp. Ltd.,600027,Conventional Electricity,CN,0.00032%
Digital China Information Service Group Co. Ltd.,000555,Computer Services,CN,0.00031%
Montnets Cloud Technology Group Co. Ltd.,002123,Telecommunications Services,CN,0.00031%
STO Express Co. Ltd.,002468,Delivery Services,CN,0.00031%
Sealand Securities Co. Ltd.,000750,Investment Services,CN,0.00030%
BGI Genomics Co. Ltd.,300676,Biotechnology,CN,0.00028%
GCL System Integration Technology Co. Ltd.,002506,Renewable Energy Equipment,CN,0.00027%
CETC Cyberspace Security Technology Co. Ltd.,002268,Security Services,CN,0.00026%
Huaxi Securities Co. Ltd.,002926,Investment Services,CN,0.00025%
Zhongshan Broad Ocean Motor Co. Ltd.,002249,Electrical Components,CN,0.00025%
Newland Digital Technology Co. Ltd.,000997,Software,CN,0.00025%
Beijing Jetsen Technology Co. Ltd.,300182,Radio and TV Broadcasters,CN,0.00023%
China Merchants Port Group Co. Ltd.,001872,Transportation Services,CN,0.00023%
Shaanxi International Trust Co. Ltd.,000563,Diversified Financial Services,CN,0.00020%
Zheshang Securities Co. Ltd.,601878,Investment Services,CN,0.00020%
Shandong Humon Smelting Co. Ltd.,002237,Gold Mining,CN,0.00018%
Suzhou Anjie Technology Co. Ltd.,002635,Electronic Equipment: Other,CN,0.00017%
Beijing Orient National Communication Science & Technology Co. Ltd.,300166,Computer Services,CN,0.00016%
Haisco Pharmaceutical Group Co. Ltd.,002653,Pharmaceuticals,CN,0.00016%
Siasun Robot & Automation Co. Ltd.,300024,Machinery: Industrial,CN,0.00015%
Northeast Securities Co. Ltd.,000686,Investment Services,CN,0.00014%
Shanxi Securities Co. Ltd.,002500,Investment Services,CN,0.00014%
Holitech Technology Co. Ltd.,002217,Electronic Components,CN,0.00014%
Hytera Communications Corp. Ltd.,002583,Telecommunications Equipment,CN,0.00013%
Camel Group Co. Ltd.,601311,Auto Parts,CN,0.00012%
Leo Group Co. Ltd.,002131,Media Agencies,CN,0.00012%
Chengdu Kanghong Pharmaceutical Group Co. Ltd.,002773,Pharmaceuticals,CN,0.00011%
Leyard Optoelectronic Co. Ltd.,300296,Electronic Components,CN,0.00010%
Guizhou Bailing Group Pharmaceutical Co. Ltd.,002424,Pharmaceuticals,CN,0.00010%
Shanghai Stonehill Technology Co. Ltd.,002195,Software,CN,0.00009%
Transfar Zhilian Co. Ltd.,002010,Transportation Services,CN,0.00009%
ADAMA Ltd.,000553,Fertilizers,CN,0.00008%
Guangdong Golden Dragon Development Inc.,000712,Investment Services,CN,0.00008%
Guizhou Xinbang Pharmaceutical Co. Ltd.,002390,Pharmaceuticals,CN,0.00008%
Tangshan Jidong Cement Co. Ltd.,000401,Cement,CN,0.00008%
Xizang Zhufeng Resources Co. Ltd.,600338,Nonferrous Metals,CN,0.00007%
Beijing Haixin Energy Technology Co. Ltd.,300072,Chemicals: Diversified,CN,0.00007%
Shanghai Dazhong Public Utilities Group Co. Ltd.,600635,Gas Distribution,CN,0.00006%
Zhejiang Runtu Co. Ltd.,002440,Specialty Chemicals,CN,0.00004%
RiseSun Real Estate Development Co. Ltd.,002146,Real Estate Holding and Development,CN,0.00003%
KingClean Electric Co. Ltd.,603355,Household Equipment and Products,CN,0.00003%
China Development Financial Holding Corp.,2883B,Life Insurance,TW,0.00002%
